,name,year,rating,votes,certificate,plot,url,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller
4609,Bugs Bunny Birthday Blowout,1990,5.7,55.0,Unrated,No Plot,https://www.imdb.com/title/tt0310811/?ref_=adv_li_tt,True,True,False,False,True,False,False,False,False
4610,The Tick,1994,5.5,7.0,nan,"We start under the skin of the Tick, a strange super hero (a parody of super hero, well said.) Who need to protect his city against an army of ninjas and funny super villians.",https://www.imdb.com/title/tt5212490/?ref_=adv_li_tt,True,False,True,False,False,False,False,False,False
4611,Fullmetal Alchemist and the Broken Angel,2003,8.4,108.0,T,"While traveling by train back to Central, the Elrics are attacked by terrorists. In the aftermath of the attack, they meet a girl named Armony who has information about the Philosopher's Stone...",https://www.imdb.com/title/tt0444640/?ref_=adv_li_tt,True,True,False,False,False,False,False,False,False
4612,MechWarrior Online,2013,6.4,8.0,nan,No Plot,https://www.imdb.com/title/tt7740068/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4613,War Gods,1997,5.5,76.0,M,"In this clone of 3D fighting game Mortal Kombat 4, an ancient being brings together 10 warriors from various planes of existence to fight to the death over a mystical star ore which grants ultimate power.",https://www.imdb.com/title/tt5468788/?ref_=adv_li_tt,True,False,False,False,False,True,False,False,False
4614,Dragon Star Varnir,2018,6.8,5.0,T,"Taking place in a world where witches are cursed to give birth to dragons, one man tasked with hunting them soon finds his own fate intertwined with his former enemies.",https://www.imdb.com/title/tt10488400/?ref_=adv_li_tt,True,False,False,False,False,True,False,False,False
4615,Island Peril,1995,5.0,9.0,M,"FMV first person shooter and Doom clone. The player is a depressed cop, Dick Danger, whose girl Samantha has been kidnapped by taunting Evil Boss (played by Dick Head) and taken to Lorgina Island. Mow down his minions and save the girl.",https://www.imdb.com/title/tt5443380/?ref_=adv_li_tt,True,False,True,True,False,False,False,False,False
4616,Monster Hunter Generations,2015,7.5,59.0,T,"Monster Hunter Generations is the second installment in the fourth generation of the series. This is the most customizable Monster Hunter experience to date, and it serves as a fitting ... See full summary »",https://www.imdb.com/title/tt5348178/?ref_=adv_li_tt,True,True,False,False,True,False,False,False,False
4617,The Chaos Engine,1993,7.4,30.0,nan,"In 19th century Britain, a baron learns from a marooned time traveler how to create artificial intelligence. Unfortunately, the A.I. goes insane and attacks humanity. Now only mercs can stop it in this classic steampunk top down shooter.",https://www.imdb.com/title/tt2055762/?ref_=adv_li_tt,True,False,False,False,False,False,False,True,False
4618,Fire Emblem: Fuin no tsurugi,2002,7.1,34.0,nan,"Roy, a young nobleman from the small independent nation of Pherae leads a growing army against the forces of King Zephiel of the kingdom of Bern, who is gradually taking over Elibe with the aid of a mysterious power.",https://www.imdb.com/title/tt6913154/?ref_=adv_li_tt,True,True,False,False,False,True,False,False,False
4620,Dark Castle,1986,2.5,40.0,nan,No Plot,https://www.imdb.com/title/tt2358971/?ref_=adv_li_tt,True,True,False,False,True,False,False,False,False
4621,Open Season 2,2008,6.2,17.0,nan,No Plot,https://www.imdb.com/title/tt1982806/?ref_=adv_li_tt,True,False,True,False,True,False,False,False,False
4622,Burn: Cycle,1994,7.9,55.0,nan,Data thief Sol Cutter has been infected with the Burn Cycle virus that will kill him in two hours. He must find out why the data he stole from Softech are worth killing over. The player must beat the game in two hours to win.,https://www.imdb.com/title/tt0131332/?ref_=adv_li_tt,True,True,False,False,False,False,False,True,False
4623,The World God Only Knows: Soul Memories,2013,7.3,17.0,nan,No Plot,https://www.imdb.com/title/tt5543482/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4624,Commando,1985,6.8,100.0,nan,"This is the story of a man named Super Joe. He must stop an enemy alliance, and rescue hostages.",https://www.imdb.com/title/tt0185996/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
4625,Gettysburg!,1997,7.7,33.0,nan,No Plot,https://www.imdb.com/title/tt0432529/?ref_=adv_li_tt,True,True,False,False,False,False,False,False,False
4626,Dynasty Warriors 2,2000,7.6,106.0,T,No Plot,https://www.imdb.com/title/tt0360534/?ref_=adv_li_tt,True,True,False,False,False,True,False,False,False
4627,Theme Park,1994,7.5,264.0,nan,Build your own wondrous Theme Park and fill it with thrilling rides to make it the most fun in the world.,https://www.imdb.com/title/tt0284556/?ref_=adv_li_tt,True,False,True,False,True,False,False,False,False
4628,Nano Breaker,2005,6.2,18.0,M,"When nanotechnology goes out of control, innocent people are horrendously mutated into Orgamechs, a nanotechnology mutants that would viciously kill anyone with no control of its own self. ... See full summary »",https://www.imdb.com/title/tt0451138/?ref_=adv_li_tt,True,True,False,False,False,False,False,True,False
4629,Ikki Tousen: Shining Dragon,2007,7.8,6.0,nan,A fighting game for the PlayStation 2.,https://www.imdb.com/title/tt5462840/?ref_=adv_li_tt,True,False,False,False,False,False,False,False,False
